ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
70,0.000,0.000,0.016,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:142(broadcast_txn)
23253,0.010,0.000,0.163,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:94(enqueue)
8304,0.008,0.000,0.031,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:106(__execute_run_hooks)
1,0.000,0.000,0.515,0.515,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:130(run)
47874,0.011,0.000,0.011,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:81(__repr__)
4237,0.001,0.000,0.001,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:134(<lambda>)
4768,0.001,0.000,0.001,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Transaction.py:20(id)
12414,0.003,0.000,0.003,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Transaction.py:37(__repr__)
193790,0.034,0.000,0.034,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:64(__lt__)
23334,0.030,0.000,0.372,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/utils.py:6(generate_random_id)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/tempfile.py:142(rng)
23253,0.012,0.000,0.153,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:89(__enqueue)
163305,0.058,0.000,0.310,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/utils.py:12(<genexpr>)
4090,0.003,0.000,0.013,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:67(created_at_formatted)
4090,0.002,0.000,0.008,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:71(actionable_at_formatted)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:100(reg_run_hooks)
90,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Link.py:11(__init__)
1,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/network.py:47(<listcomp>)
10,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:49(init_blockchain)
90,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:55(connect)
774,0.001,0.000,0.001,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:96(connected_peers)
70,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Transaction.py:34(description)
19090,0.017,0.000,0.056,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/utils.py:17(expon_distribution)
